00:13:50.860 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c407a9a-3473-47ac-a389-51cd95a1f6d0_config-0] Server healthy check fail, currentConnection = 1656259003427_192.168.2.2_64535
00:15:00.735 [nacos-grpc-client-executor-6] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e1078508-581a-4514-af1d-bb637fd15978] Receive server push request, request = NotifySubscriberRequest, requestId = 153
00:15:00.745 [nacos-grpc-client-executor-6] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e1078508-581a-4514-af1d-bb637fd15978] Ack server push request, request = NotifySubscriberRequest, requestId = 153
00:15:00.787 [main] INFO  c.r.g.RuoYiGenApplication - [logStarted,61] - Started RuoYiGenApplication in 934.42 seconds (JVM running for 943.077)
00:15:00.801 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen, group=DEFAULT_GROUP
00:15:00.817 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen-dev.yml, group=DEFAULT_GROUP
00:15:00.818 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen.yml, group=DEFAULT_GROUP
00:15:10.044 [http-nio-9202-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
00:15:10.159 [http-nio-9202-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
00:15:10.476 [http-nio-9202-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
00:29:05.587 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
00:29:05.594 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
00:29:05.926 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
00:29:05.927 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@51a1ca83[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
00:29:05.927 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656259925034_192.168.2.2_51123
00:29:05.930 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@2e39b7b2[Running, pool size = 5, active threads = 1, queued tasks = 0, completed tasks = 185]
00:29:05.930 [nacos-grpc-client-executor-185] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1656259925034_192.168.2.2_51123]Ignore complete event,isRunning:false,isAbandon=false
00:29:06.089 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
00:29:06.111 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
