00:29:05.456 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [dbe1ad24-3b47-4530-81fd-dbf1f5477a85_config-0] Server healthy check fail, currentConnection = 1656258987012_192.168.2.2_64261
00:29:09.339 [nacos-grpc-client-executor-7] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [68be780b-0ecb-4bb5-a6bb-eb057026e0a7] Receive server push request, request = NotifySubscriberRequest, requestId = 169
00:29:09.351 [nacos-grpc-client-executor-7] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [68be780b-0ecb-4bb5-a6bb-eb057026e0a7] Ack server push request, request = NotifySubscriberRequest, requestId = 169
00:29:10.044 [main] INFO  c.r.s.RuoYiSystemApplication - [logStarted,61] - Started RuoYiSystemApplication in 1798.862 seconds (JVM running for 1805.038)
00:29:10.061 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-system, group=DEFAULT_GROUP
00:29:10.062 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-system.yml, group=DEFAULT_GROUP
00:29:10.071 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-system-dev.yml, group=DEFAULT_GROUP
00:29:10.195 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
00:29:10.200 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
00:29:10.757 [nacos-grpc-client-executor-12] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [68be780b-0ecb-4bb5-a6bb-eb057026e0a7] Receive server push request, request = NotifySubscriberRequest, requestId = 170
00:29:10.761 [nacos-grpc-client-executor-12] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [68be780b-0ecb-4bb5-a6bb-eb057026e0a7] Ack server push request, request = NotifySubscriberRequest, requestId = 170
00:29:10.858 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
00:29:10.859 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@3a0d03aa[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
00:29:10.859 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656260773476_192.168.2.2_53879
00:29:10.862 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@2610bfb0[Running, pool size = 13, active threads = 0, queued tasks = 0, completed tasks = 13]
00:29:11.011 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,205] - dynamic-datasource start closing ....
00:29:11.018 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2051] - {dataSource-1} closing ...
00:29:11.026 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2124] - {dataSource-1} closed
00:29:11.026 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,209] - dynamic-datasource all closed success,bye
